sample_id,video_path,source_dataset,original_label,mapped_label,label_id,label_type,duration,fps,num_frames,width,height,split,scene_id,camera_id,start_frame,end_frame,notes,clip_path,annotation_split
k932VZGqE6c_3_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/k932VZGqE6c_3_00.mp4,ACCIDENT-real,rear-end,non_accident,0,weak_clip_pre_event,10.166667,22.819672,232,320,240,train,World,World::signalized_intersection,0,35,derived_pre_accident_until=1.533;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/k932VZGqE6c_3_00__pre_event_non_accident.mp4,train
mr_it2B6muI_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/mr_it2B6muI_00.mp4,ACCIDENT-real,single,non_accident,0,weak_clip_pre_event,24.431625,14.816861,362,2400,1080,train,Virginia,Virginia::highway,0,54,derived_pre_accident_until=3.617;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/mr_it2B6muI_00__pre_event_non_accident.mp4,train
w5gsLw2EF-w_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/w5gsLw2EF-w_00.mp4,ACCIDENT-real,sideswipe,non_accident,0,weak_clip_pre_event,30.041667,14.945908,449,960,720,train,Virginia,Virginia::highway,0,40,derived_pre_accident_until=2.667;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/w5gsLw2EF-w_00__pre_event_non_accident.mp4,train
d0uvO8FDM6U_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/d0uvO8FDM6U_00.mp4,ACCIDENT-real,single,non_accident,0,weak_clip_pre_event,8.875,10.028169,89,960,720,train,Virginia,Virginia::highway,0,18,derived_pre_accident_until=1.792;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/d0uvO8FDM6U_00__pre_event_non_accident.mp4,train
bDLOyLAi51k_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/bDLOyLAi51k_00.mp4,ACCIDENT-real,single,non_accident,0,weak_clip_pre_event,25.72,19.984448,514,1056,720,train,Florida,Florida::grade_separated_intersection,0,90,derived_pre_accident_until=4.520;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/bDLOyLAi51k_00__pre_event_non_accident.mp4,train
k932VZGqE6c_2_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/k932VZGqE6c_2_00.mp4,ACCIDENT-real,rear-end,non_accident,0,weak_clip_pre_event,8.333333,28.44,237,320,240,train,World,World::signalized_intersection,0,75,derived_pre_accident_until=2.633;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/k932VZGqE6c_2_00__pre_event_non_accident.mp4,train
nsHYg3ENgk4_1_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/nsHYg3ENgk4_1_00.mp4,ACCIDENT-real,t-bone,non_accident,0,weak_clip_pre_event,8.1081,29.723363,241,1280,720,train,World,World::signalized_intersection,0,72,derived_pre_accident_until=2.439;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/nsHYg3ENgk4_1_00__pre_event_non_accident.mp4,train
ieFXAiS97A0_5_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/ieFXAiS97A0_5_00.mp4,ACCIDENT-real,t-bone,non_accident,0,weak_clip_pre_event,10.4104,19.98002,208,450,338,train,World,World::signalized_intersection,0,34,derived_pre_accident_until=1.705;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/ieFXAiS97A0_5_00__pre_event_non_accident.mp4,train
THjJUsS8MXk_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/THjJUsS8MXk_00.mp4,ACCIDENT-real,rear-end,non_accident,0,weak_clip_pre_event,30.033333,15.016648,451,1620,1080,train,Virginia,Virginia::highway,0,60,derived_pre_accident_until=4.000;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/THjJUsS8MXk_00__pre_event_non_accident.mp4,train
ig4k6LEEMy0_00__pre_event_non_accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/ig4k6LEEMy0_00.mp4,ACCIDENT-real,t-bone,non_accident,0,weak_clip_pre_event,30.125,7.966805,240,1280,720,train,Arkansas,Arkansas::highway,0,49,derived_pre_accident_until=6.208;weak_negative=true,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/ig4k6LEEMy0_00__pre_event_non_accident.mp4,train
video13_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/video13_00.mp4,ACCIDENT-real,sideswipe,accident,1,weak_clip_event_window,17.2,25.639535,441,1280,720,train,World,World::highway,155,309,accident_time=8.033333;type=sideswipe,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/video13_00__accident.mp4,train
k932VZGqE6c_0_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/k932VZGqE6c_0_00.mp4,ACCIDENT-real,t-bone,accident,1,weak_clip_event_window,13.266667,28.492462,378,320,240,train,World,World::signalized_intersection,167,338,accident_time=7.866667;type=t-bone,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/k932VZGqE6c_0_00__accident.mp4,train
67eBRe-YfEE_2_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/67eBRe-YfEE_2_00.mp4,ACCIDENT-real,rear-end,accident,1,weak_clip_event_window,7.3073,25.864546,189,1280,720,train,World,World::city_street,0,142,accident_time=1.5014999999999996;type=rear-end,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/67eBRe-YfEE_2_00__accident.mp4,train
x2ymyeli9Xc_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/x2ymyeli9Xc_00.mp4,ACCIDENT-real,single,accident,1,weak_clip_event_window,23.5,15.021277,353,960,720,train,Virginia,Virginia::highway,40,130,accident_time=4.666666;type=single,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/x2ymyeli9Xc_00__accident.mp4,train
xKT7khciy-c_10_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/xKT7khciy-c_10_00.mp4,ACCIDENT-real,single,accident,1,weak_clip_event_window,3.970633,22.666409,90,400,226,train,World,World::city_street,3,90,accident_time=2.1021;type=single,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/xKT7khciy-c_10_00__accident.mp4,train
nsHYg3ENgk4_9_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/nsHYg3ENgk4_9_00.mp4,ACCIDENT-real,t-bone,accident,1,weak_clip_event_window,7.941267,29.97003,238,1280,720,train,World,World::signalized_intersection,109,238,accident_time=5.638967;type=t-bone,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/nsHYg3ENgk4_9_00__accident.mp4,train
Qi7voHChFxk_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/Qi7voHChFxk_00.mp4,ACCIDENT-real,single,accident,1,weak_clip_event_window,6.333333,14.842105,94,1080,720,train,Tennessee,Tennessee::highway,13,94,accident_time=2.917;type=single,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/Qi7voHChFxk_00__accident.mp4,train
AJKLxHzIHYY_15_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/AJKLxHzIHYY_15_00.mp4,ACCIDENT-real,rear-end,accident,1,weak_clip_event_window,11.92,24.161074,288,480,360,train,World,World::highway,14,159,accident_time=2.56;type=rear-end,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/AJKLxHzIHYY_15_00__accident.mp4,train
9DRFJxKHc6g_5_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/9DRFJxKHc6g_5_00.mp4,ACCIDENT-real,t-bone,accident,1,weak_clip_event_window,15.682333,24.486152,384,1280,720,train,World,World::signalized_intersection,197,344,accident_time=10.043367;type=t-bone,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/9DRFJxKHc6g_5_00__accident.mp4,train
d0uvO8FDM6U_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/d0uvO8FDM6U_00.mp4,ACCIDENT-real,single,accident,1,weak_clip_event_window,8.875,10.028169,89,960,720,train,Virginia,Virginia::highway,28,88,accident_time=4.792;type=single,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/d0uvO8FDM6U_00__accident.mp4,train
3Xd6PxEvbNk_4_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/3Xd6PxEvbNk_4_00.mp4,ACCIDENT-real,t-bone,accident,1,weak_clip_event_window,9.542867,18.443095,176,480,360,train,World,World::signalized_intersection,16,127,accident_time=2.869533;type=t-bone,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/3Xd6PxEvbNk_4_00__accident.mp4,train
MA3KBCQu9eY_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/MA3KBCQu9eY_00.mp4,ACCIDENT-real,single,accident,1,weak_clip_event_window,30.133333,7.964602,240,1920,1080,train,Arkansas,Arkansas::highway,97,145,accident_time=14.233;type=single,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/MA3KBCQu9eY_00__accident.mp4,train
vUnflRkNPsI_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/vUnflRkNPsI_00.mp4,ACCIDENT-real,sideswipe,accident,1,weak_clip_event_window,30.041667,14.979196,450,960,720,train,Tennessee,Tennessee::highway,26,116,accident_time=3.75;type=sideswipe,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/vUnflRkNPsI_00__accident.mp4,train
7YEUfIVVk9Y_4_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/7YEUfIVVk9Y_4_00.mp4,ACCIDENT-real,t-bone,accident,1,weak_clip_event_window,4.32,25.0,108,1280,720,train,World,World::signalized_intersection,0,108,accident_time=0.52;type=t-bone,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/7YEUfIVVk9Y_4_00__accident.mp4,train
ZyHloKpLTDs_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/ZyHloKpLTDs_00.mp4,ACCIDENT-real,rear-end,accident,1,weak_clip_event_window,30.033333,30.0,901,1920,1080,train,Georgia,Georgia::highway,136,316,accident_time=6.533;type=rear-end,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/ZyHloKpLTDs_00__accident.mp4,train
nFpT2-RpAS8_1_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/nFpT2-RpAS8_1_00.mp4,ACCIDENT-real,sideswipe,accident,1,weak_clip_event_window,25.48,24.764521,631,480,360,train,World,World::city_street,6,155,accident_time=2.28;type=sideswipe,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/nFpT2-RpAS8_1_00__accident.mp4,train
GnpwLP2THmM_2_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/GnpwLP2THmM_2_00.mp4,ACCIDENT-real,t-bone,accident,1,weak_clip_event_window,5.338667,29.595405,158,1280,720,train,World,World::signalized_intersection,0,157,accident_time=1.3013;type=t-bone,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/GnpwLP2THmM_2_00__accident.mp4,train
V3oNEkBwP7M_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/V3oNEkBwP7M_00.mp4,ACCIDENT-real,single,accident,1,weak_clip_event_window,25.133333,29.761273,748,1620,1080,train,Minnesota,Minnesota::highway,149,328,accident_time=7.033;type=single,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/V3oNEkBwP7M_00__accident.mp4,train
AJKLxHzIHYY_19_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/AJKLxHzIHYY_19_00.mp4,ACCIDENT-real,t-bone,accident,1,weak_clip_event_window,4.32,24.768519,107,480,360,train,World,World::signalized_intersection,0,107,accident_time=1.2;type=t-bone,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/AJKLxHzIHYY_19_00__accident.mp4,train
HLK2xLUfMsM_00__accident,/autodl-fs/data/traffic_accident_rnd/ACCIDENT_dataset/real_videos/HLK2xLUfMsM_00.mp4,ACCIDENT-real,single,accident,1,weak_clip_event_window,14.541667,15.060172,219,960,720,train,Virginia,Virginia::highway,112,202,accident_time=9.458;type=single,/root/autodl-tmp/traffic_accident_rnd/experiments/accident_mmaction2_baseline/data/clips/train/HLK2xLUfMsM_00__accident.mp4,train
